Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Asia,Bangladesh,None,2020-04-06,33.51227256806879,1.0254768057098884,8.506515834727912,1.000219034970417,0.05454320841307156,0.019289686850859245,0.0,4.036575732429644,5.194090815261707,0.7068294330234746,4.403175148801661,0.21591777698459103
Europe,Belarus,None,2020-03-30,27.75536529627028,1.25,0.9021524945117527,1.0,0.05,0.01,0.20641450958147367,0.10253428736634707,0.6082080980330105,1.1366383841359904,5.010210776857654,1.55858555991904
Europe,Belgium,None,2020-03-06,143.94875457601793,1.066481122985532,4.898500820108623,1.3312610005823755,0.16584486147128719,0.20513457092744303,0.18112594722111797,3.306044323722069,3.869863130876232,0.0003354757138289699,3.998051023274776,0.9275047672272838
Africa,Benin,None,2020-05-07,47.298913084868765,1.25,-7.417897938986919,1.0,0.05,0.021438158450972397,0.0,0.1,0.1,0.0,3.001256088643351,0.9900653336985537
South America,Bolivia,None,2020-03-31,50.66559766664389,1.25,3.1345554073308963,1.0,0.05,0.05783134571176249,0.14392732205831663,1.490055061892694,0.15757553110833467,1.6522150718678574e-06,3.408664377527747,0.10004778919639223
Europe,Bosnia and Herzegovina,None,2020-03-22,20.368727731657167,1.238075720285582,-0.6513280113250081,1.0723918623573014,0.41979919023979007,0.07109560613003096,0.24901867660180318,0.10003154167810546,0.13465623650515646,0.06751509433065328,1.1996079181376729,0.5723083941265421
South America,Brazil,None,2020-03-13,147.30777495391808,1.0724516660316648,9.302302029131045,1.0,0.05,0.07690969962634589,0.11225482963680694,5.2149463194043015,6.901213046006372,1.9896906830980343,2.9694298343351218,0.1504620250694435
Europe,Bulgaria,None,2020-03-20,19.33278710293275,1.25,0.043454686004927454,1.0,0.0710960872812896,0.06534084814572962,0.06035535639786399,0.1,0.1,0.0,3.1336111981833366,4.065185442813953
Africa,Burkina Faso,None,2020-03-24,5.438848947573198,1.2271241908716726,-6.2471249380535845,1.7872174426293654,0.5,0.0744760756488754,0.4192371227851043,0.1613723608926394,0.5590321189795633,0.0,3.6902908532198735,1.1453128163767463
Africa,Burundi,None,2020-06-16,20.164651120056895,0.75,-2.43215106496806,2.9566190879668017,0.05,0.01,0.19876595870998082,0.2922770496333804,0.1354556450208788,0.35098145498851663,2.410571831334778,0.8878944476581108
Africa,Cabo Verde,None,2020-04-26,12.59857976808049,1.25,-6.063523087034839,1.0,0.05,0.013918183846511237,0.21173388055579256,0.10204696544408431,0.1,0.01866671053607316,4.791821057605341,0.9909400966015967
